Game,Old Name,New Name
6,Zephiel,Zephiel
6,Guinevere,Guinivere
7,Eliwood,Eliwood
7,Lowen,Lowen
7,Marcus,Marcus
7,Rebecca,Rebecca
7,Dorcas,Dorcas
7,Bartre,Bartre
7,Hector,Hector
7,Oswin,Oswin
7,Serra,Serra
7,Matthew,Matthew
7,Guy,Guy
7,Merlinus,Merlinus
7,Erk,Erk
7,Priscilla,Priscilla
7,Lyn,Lyn
7,Wil,Wil
7,Kent,Kent
7,Sain,Sain
7,Florina,Florina
7,Raven,Raven
7,Lucius,Lucius
7,Canas,Canas
7,Dart,Dart
7,Fiora,Fiora
7,Legault,Legault
7,Ninian,Ninian
7,Isadora,Isadora
7,Heath,Heath
7,Rath,Rath
7,Hawkeye,Hawkeye
7,Geitz,Geitz
7,Wallace,Wallace
7,Farina,Farina
7,Pent,Pent
7,Louise,Louise
7,Karel,Karel
7,Harken,Harken
7,Nino,Nino
7,Jaffar,Jaffar
7,Vaida,Vaida
7,Karla,Karla
7,Renault,Renault
7,Athos,Athos
8,Caellach,Caellach
8,Orson,Orson
8,Riev,Riev
8,Ismaire,Ismaire
8,Selena,Selena
8,Glen,Glen
8,Hayden,Hayden
8,Valter,Valter
8,Fado,Fado
8,Lyon,Lyon
8,Eirika,Eirika
8,Seth,Seth
8,Franz,Franz
8,Gilliam,Gilliam
8,Vanessa,Vanessa
8,Moulder,Moulder
8,Ross,Ross
8,Garcia,Garcia
8,Neimi,Neimi
8,Colm,Colm
8,Artur,Artur
8,Lute,Lute
8,Natasha,Natasha
8,Joshua,Joshua
8,Ephraim,Ephraim
8,Forde,Forde
8,Kyle,Kyle
8,Tana,Tana
8,Amelia,Amelia
8,Innes,Innes
8,Gerik,Gerik
8,Tethys,Tethys
8,Marisa,Marisa
8,L’Arachel,L’Arachel
8,Dozla,Dozla
8,Saleh,Saleh
8,Ewan,Ewan
8,Cormag,Cormag
8,Rennac,Rennac
8,Duessel,Duessel
8,Knoll,Knoll
8,Myrrh,Myrrh
8,Syrene,Syrene
9,Sephiran,Sephiran
9,Leanne,Leanne
9,Ike,Ike
9,Titania,Titania
9,Oscar,Oscar
9,Boyd,Boyd
9,Rhys,Rhys
9,Shinon,Shinon
9,Gatrie,Gatrie
9,Soren,Soren
9,Mia,Mia
9,Ilyana,Ilyana
9,Marcia,Marcia
9,Mist,Mist
9,Rolf,Rolf
9,Lethe,Lethe
9,Mordecai,Mordecai
9,Volke,Volke
9,Kieran,Kieran
9,Brom,Brom
9,Nephenee,Nephenee
9,Zihark,Zihark
9,Jill,Jill
9,Sothe,Sothe
9,Astrid,Astrid
9,Makalov,Makalov
9,Stefan,Stefan
9,Muarim,Muarim
9,Tormod,Tormod
9,Devdan,Devdan
9,Tanith,Tanith
9,Reyson,Reyson
9,Janaff,Janaff
9,Ulki,Ulki
9,Calill,Calill
9,Tauroneo,Tauroneo
9,Ranulf,Ranulf
9,Haar,Haar
9,Lucia,Lucia
9,Bastian,Bastian
9,Geoffrey,Geoffrey
9,Largo,Largo
9,Elincia,Elincia
9,Ena,Ena
9,Nasir,Nasir
9,Tibarn,Tibarn
9,Naesala,Naesala
9,Giffca,Giffca
